first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id,full_name
Kevin,Wimmer,0,0,2,357,4,14.4,39.4,0,0,26,5.4,0,0,3,0.1,388,Kevin Wimmer
DeAndre,Yedlin,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.2,389,DeAndre Yedlin
Eric,Dier,2,0,93,3043,24,223.8,663.6,315,4,505,120.7,16,0,6,5.1,390,Eric Dier
Mousa,Dembélé,1,2,76,2056,17,409.7,407.2,121,6,456,94.2,11,0,5,0.5,391,Mousa Dembélé
Nacer,Chadli,5,6,110,2135,32,538.8,412.0,543,8,359,148.7,6,0,2,1.4,392,Nacer Chadli
Erik,Lamela,1,1,28,595,2,275.2,121.8,225,4,93,62.2,4,0,1,3.3,393,Erik Lamela
Christian,Eriksen,8,20,218,3159,24,1679.2,974.6,1244,30,798,389.7,16,0,0,17.9,394,Christian Eriksen
Nabil,Bentaleb,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,395,Nabil Bentaleb
Ryan,Mason,1,0,26,927,27,149.6,116.0,137,0,126,39.8,0,0,4,0.0,396,Ryan Mason
Tom,Carroll,1,2,52,1389,18,268.2,253.8,86,4,243,61.0,5,0,1,2.6,397,Tom Carroll
Bamidele,Alli,18,11,225,3036,22,778.7,969.6,1270,17,679,301.7,17,0,4,32.3,398,Bamidele Alli
Joshua,Onomah,0,0,5,22,0,4.4,7.4,18,0,17,3.0,0,0,0,0.1,399,Joshua Onomah
Victor,Wanyama,4,2,103,3012,25,486.0,609.6,480,7,578,157.7,12,0,10,2.9,400,Victor Wanyama
Alex,Pritchard,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,401,Alex Pritchard
Heung-Min,Son,14,9,174,2063,18,642.3,753.4,1161,13,512,255.6,10,0,2,11.0,402,Heung-Min Son
Harry,Kane,29,7,224,2523,19,548.4,1279.0,1530,33,920,336.0,14,0,3,23.3,403,Harry Kane
Clinton,N'Jie,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,404,Clinton N'Jie
Vincent,Janssen,2,3,55,845,8,241.3,158.0,501,3,134,89.4,3,0,0,0.8,405,Vincent Janssen
Costel,Pantilimon,0,0,2,83,4,0.0,41.6,0,0,20,4.1,0,0,0,0.4,406,Costel Pantilimon
Heurelho,Gomes,0,0,113,3337,64,10.0,834.4,0,6,681,84.4,7,0,1,1.7,407,Heurelho Gomes
Craig,Cathcart,0,1,31,1162,21,61.7,225.2,45,3,183,33.2,2,0,3,0.2,408,Craig Cathcart
Sebastian,Prödl,1,2,67,2770,49,111.3,624.0,302,3,441,103.8,5,1,10,0.8,409,Sebastian Prödl
Juan Carlos,Paredes,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,3.8,410,Juan Carlos Paredes
José,Holebas,2,4,87,2905,61,567.6,666.8,211,9,547,144.6,7,0,14,3.0,411,José Holebas
Allan-Roméo,Nyom,0,2,74,2638,39,214.3,461.0,109,6,419,78.3,5,0,8,1.3,412,Allan-Roméo Nyom
Miguel,Britos,1,2,71,2280,36,96.7,531.2,280,8,413,90.9,6,2,6,0.7,413,Miguel Britos
